100000 100000
q 48966 13900
q 29529 77041
m 34965 3857
m 46977 83516
u 95405 18465
q 90095 28478
q 26326 45058
u 76595 11711
m 41478 47827
u 51020 96832
m 39091 99138
q 18040 5985
q 68849 11696
m 93401 14867
q 58498 56318
u 5313 78057
u 27495 32069
u 79223 83439
u 34081 78344
m 4721 61818
u 82050 50574
u 71039 18672
q 1421 15952
q 82732 11913
q 3904 40450
m 11902 40345
m 53819 88295
u 57959 15184
u 89070 15840
m 84947 22970
m 56135 27065
u 6677 15240
m 52938 59714
u 39664 1592
q 31473 44749
m 11604 75772
m 7498 84741
u 47090 26964
u 96303 13891
u 82426 89986
u 22721 69275
m 9286 79661
u 92069 46546
q 94248 83725
u 49416 98261
m 76769 78023
m 71353 37573
u 86481 91814
m 78817 9464
q 30467 99126
u 21226 54936
u 18255 96928
u 63326 48547
m 57872 9468
m 5065 53468
u 63691 27346
q 78761 54882
m 76212 43254
m 20999 1643
q 78158 52263
u 96134 80058
q 76730 69405
u 13077 36753
u 55921 28025
u 95516 94905
u 6096 22993
u 60371 90721
q 45605 73348
q 26937 11362
u 34529 16025
u 54344 11928
u 82024 85725
m 3003 28698
u 83352 89453
m 87320 64634
u 37837 48139
m 66067 9114
m 37845 15997
q 98810 60046
u 5294 96662
m 22221 27802
u 64886 4659
u 99024 6687
m 23001 36292
u 66803 16286
m 60397 27516
q 47802 57625
q 17085 45226
q 87256 85544
u 7872 31597
u 43499 34245
u 48632 31814
m 81049 56162
u 67018 17065
m 19973 77962
q 38822 35603
u 79686 69070
m 57493 26631
m 24488 34025
m 19280 92510
q 28582 88307
q 96922 11480
m 46988 93564
q 52118 6621
m 93537 67790
m 5534 59855
q 18904 26100
q 81635 53927
m 22688 30939
u 41649 9185
q 69011 66453
m 80372 78310
m 26840 86983
m 74669 60725
u 9983 7575
u 46444 64560
q 89932 57020
u 52496 96798
q 29709 96131
q 17375 4733
u 29656 44592
m 10495 94891
q 60115 32271
m 51553 95066
q 25299 23379
m 58241 85576
u 84706 67135
u 30259 6563
q 78037 94171
q 52604 73862
q 11387 1985
m 94065 55255
q 93086 23285
q 77367 20894
q 83209 77932
m 89571 78286
q 16223 2322
u 47540 98940
m 88434 26557
q 40806 7373
u 20794 89044
u 95473 74271
m 93999 47383
q 48094 9441
m 38350 93276
m 70403 6437
m 4226 55838
q 85059 2129
m 92406 4697
q 46262 48652
q 96878 18679
q 26669 13814
q 12279 535
m 90317 3035
m 20522 97414
m 69669 35405
m 64192 89098
u 68377 61991
u 81303 97837
m 96242 85845
u 43220 93725
m 85152 40730
u 68121 89477
q 67236 45500
m 18732 90820
m 27925 40055
q 8330 83939
m 24681 34490
m 70369 6146
q 2807 86978
u 40113 2226
m 53202 50153
q 88334 576
u 28721 38467
m 94745 93359
q 93385 96276
q 3066 36723
u 41108 71664
q 32646 33422
m 5818 79476
u 62843 74193
u 65148 87475
m 7498 44528
m 19490 44225
u 66559 78072
m 30660 27081
q 6685 26406
u 72960 42509
u 19917 79874
u 39503 62834
q 42002 64111
q 11199 41108
u 72177 1905
m 67326 59312
m 51854 40721
q 14886 89687
u 34877 27995
u 26448 45199
u 7003 2238
m 89253 37840
m 77778 60603
q 48451 42923
u 69218 6765
m 25923 22983
q 61735 86108
u 9165 59256
u 6879 1210
u 81552 82058
q 13257 7306
u 45853 99043
q 45014 52644
m 5869 83235
q 48874 1727
q 52668 63006
q 45387 16107
m 44219 555
q 79357 17839
u 40515 94306
u 27223 22412
u 24239 28356
m 22597 7320
u 11840 90869
u 19486 77921
m 74584 58637
m 53366 48722
u 6641 12307
m 47237 31008
m 12721 25653
m 22331 69623
q 92645 19026
m 42472 80535
m 50418 7290
q 98976 38199
q 63251 23494
q 30737 23659
m 97206 58483
q 50449 19779
m 72032 57259
q 83788 38195
m 7857 58096
u 11719 50172
m 54874 70345
m 16639 74012
q 97368 34092
q 59724 55680
u 56595 23739
q 76895 44099
u 95732 94368
q 66876 52344
m 22819 1169
q 19653 23889
q 78220 5888
m 93876 32456
m 39718 61116
u 2631 60864
m 70519 79659
u 51408 13372
u 63286 12015
q 28842 14096
q 85955 95907
m 69940 48308
m 55885 1387
m 45021 7469
m 88525 55972
u 95093 35348
m 43491 58268
q 3209 88680
u 20870 70233
u 76760 23346
m 87400 60008
q 65964 73015
u 82725 80786
q 46496 79749
u 22277 42543
u 34700 62194
m 66839 5593
q 97614 21263
q 66940 56788
u 55248 33012
u 8360 23147
m 79946 9103
m 514 44226
q 92882 68852
u 83189 98604
q 80135 55886
u 89406 7122
m 96760 80903
q 79608 51610
u 5547 32843
q 64360 50801
m 4810 36827
q 8087 96459
m 54452 62861
m 93319 28487
m 83878 11705
m 69714 39643
u 75358 75853
u 3760 80891
m 38262 82495
q 17039 52805
u 45257 31493
m 89471 75195
m 29482 50112
q 67403 81723
u 70400 14689
q 73661 37280
m 58410 27618
m 47111 21944
m 94365 71945
u 29429 12662
u 55691 98235
u 10996 87065
u 18321 93488
u 93115 27169
m 44875 60240
u 27077 35507
m 31881 4549
m 97092 56484
q 61183 61491
m 66489 5352
u 52946 42203
q 69667 52292
m 40145 19423
q 8649 82779
u 89285 99039
u 17838 13106
m 4655 96089
u 97148 95307
m 75782 25086
q 61141 51022
m 96165 45934
m 94477 81763
q 87567 2936
u 24034 93071
m 35316 65453
u 45245 16503
u 8915 71693
m 43547 58280
m 24388 57160
m 23522 47667
u 44100 32970
u 45465 81901
u 50525 16403
m 86164 30677
m 59998 2552
u 87531 32987
u 2331 19521
m 2488 44291
u 36550 13482
q 25075 52030
q 78535 37599
m 35892 96382
m 63923 88393
u 56036 10420
u 44874 4886
q 80790 62109
q 14837 34981
u 69054 9559
m 19428 32297
u 42472 8703
u 54267 95043
m 73550 52257
m 52610 52816
q 39196 86271
m 87702 64422
q 63470 30897
q 39541 16407
q 43448 72019
q 20068 96515
m 78685 60275
q 76807 12224
u 9318 23544
m 8464 29741
m 31236 89316
u 22480 61593
u 38403 51372
q 50493 65730
m 41165 57787
u 86479 19394
m 16139 97159
q 42762 18616
m 43529 93195
u 77628 82247
q 31749 70123
m 32824 92047
u 22374 96493
m 72673 86653
q 32408 15871
m 23087 29789
m 90610 90756
q 27761 41476
m 17554 39267
u 18791 76440
q 72152 99041
m 56920 5440
q 41976 25446
q 80779 71596
u 36157 63149
m 38969 36765
u 6775 96091
u 57280 4801
m 20094 29517
q 73567 86981
q 51534 8881
u 48748 79247
m 12369 7400
u 81522 80488
u 19454 3817
m 54298 18410
q 28318 77037
q 35474 59441
m 15352 85706
m 23522 28236
q 28705 57657
q 59178 30888
u 2921 44025
q 51918 99179
q 66086 84924
q 55428 58192
q 35245 51820
m 7391 49633
u 72136 73507
q 39426 71878
m 48469 72068
m 90263 76154
u 53582 68601
m 12436 49276
m 92158 86370
q 85176 37349
u 23436 71759
m 77676 42328
u 38071 22074
q 75123 76450
m 72987 84995
q 37366 95637
q 22422 24780
m 83364 66348
q 45021 36389
u 1742 67837
m 62753 83737
q 4672 51436
u 39001 69694
q 49137 69928
m 79101 84922
m 16409 74658
m 35766 6674
q 38557 10877
u 81148 46452
m 39040 64536
u 23615 50764
u 93532 89899
m 17519 73711
q 79282 91469
m 99546 41473
q 95363 76940
m 87886 96398
q 11031 1827
q 80717 25525
m 57377 66910
q 92104 34912
u 73484 71374
u 91095 14819
m 5306 90566
m 59956 10140
q 85224 41570
q 51663 54752
u 11739 5386
q 28795 49012
u 4932 79455
u 7109 72679
u 14511 78995
u 56487 76872
q 42652 9828
m 82682 96760
m 77720 40325
m 24212 95298
m 47995 40789
u 37126 39875
m 58721 99619
u 58330 70505
q 46364 41170
q 88013 51305
m 85912 29834
u 23708 46134
m 28691 95230
m 82565 65418
q 8576 72113
q 9561 7564
q 89938 82641
q 8656 40545
m 51532 54723
u 56180 39149
q 58640 74627
q 50042 71924
m 28975 3682
m 6826 70959
m 75212 56445
m 97815 72913
m 98456 49346
u 35831 11892
m 71768 47429
q 97731 23770
m 19843 62886
u 25965 54560
q 92762 69326
u 80926 99370
m 82066 10562
m 25179 55822
q 88084 52450
q 4587 1047
q 38402 6037
u 57790 2851
m 59404 3573
u 72397 26656
q 13889 62569
m 65039 91308
u 67534 20912
q 25189 86505
u 34085 12273
q 30545 73707
u 27637 20895
u 4788 12650
q 96128 76935
m 81341 78291
u 37106 44991
u 55281 431
u 599 38441
m 88980 73340
q 26860 1903
q 22862 71936
q 67193 15991
u 92456 65786
q 42637 70458
u 90388 97097
m 72245 13811
m 89135 63440
m 26054 42023
u 34144 87773
u 68619 85116
u 51021 69674
q 55473 61925
q 89698 62300
q 72236 64367
m 72165 34799
u 7965 5950
q 48538 39100
q 13830 42820
u 22660 86716
m 63887 30495
m 7959 98796
m 93406 44105
m 79027 22038
u 27501 79753
m 59476 7419
q 96010 38854
q 49407 58815
m 14524 52319
q 15831 55776
m 99710 84822
q 70702 63218
m 60786 4405
m 89104 59099
u 93739 71398
q 7657 15345
m 2254 17561
q 10740 68098
q 31952 60021
u 5064 18370
u 8907 96297
m 53341 98911
u 97712 64559
q 64806 84449
m 2589 97273
m 27783 81244
q 82507 49390
u 64459 97433
q 52859 12423
q 67824 60361
u 72816 3542
q 88696 89044
q 46947 16518
u 78581 78429
u 60792 99189
m 55290 90106
u 3139 36395
m 9068 31393
q 32981 53852
m 86486 14206
q 37469 44799
u 26602 22707
u 15216 15206
q 38710 4954
m 84138 66953
m 51386 71854
q 37754 56107
m 77430 59748
u 31944 69023
q 35455 56751
q 45378 69256
q 10037 51106
u 41047 38546
u 6224 44891
u 52237 94263
u 72931 85089
u 33412 86523
u 78550 51012
u 41067 73165
m 15595 44396
u 66321 9550
m 37228 34131
q 78510 89757
u 96453 44479
m 49749 53730
u 88955 93769
u 73181 94767
q 40196 49314
m 20582 36737
m 45753 53478
m 68878 11301
m 3135 46490
q 40382 53626
u 13092 90451
q 40889 73076
q 48070 30211
q 48482 51657
u 68391 84707
u 18257 14786
q 7947 77441
u 85509 58152
q 66545 97820
q 52566 29417
m 48498 96797
q 44724 25565
m 75477 97341
m 24877 99760
u 71646 39445
q 69459 96679
u 21195 88704
q 42872 68617
m 86082 27924
u 88205 23470
m 14122 35559
u 92042 83187
q 53929 92617
q 24562 81038
u 87719 11291
u 98138 71446
m 47723 7931
m 73537 15560
m 27158 96984
u 43456 38237
u 75316 51393
q 49549 14541
u 43331 95405
q 4390 66972
m 93082 78326
u 6884 6704
m 58100 62280
u 10429 51463
q 80548 37331
q 93907 39727
u 73958 3223
q 60344 93364
q 7962 54463
u 10414 20486
m 29513 9841
q 2205 57493
u 10645 25737
u 65397 47609
m 67842 34908
q 45919 20029
m 9707 87934
q 26809 6787
m 21509 55056
u 40496 34390
q 48223 38494
m 77796 39239
u 77428 86209
u 60092 60579
u 55851 2704
m 73183 85499
q 21855 96930
m 47288 63872
u 89747 85277
m 85909 7796
q 72769 16557
u 40833 20315
u 73872 42370
m 66749 63226
q 73820 63880
m 21897 68502
u 39997 23558
m 9726 45201
u 82841 38218
q 91539 13315
q 81482 81523
m 10035 32201
q 27399 14596
u 50984 15748
q 17411 45353
u 70838 58988
m 18903 24355
u 19402 82277
m 13923 50710
u 51842 73481
u 31161 30010
m 17965 5824
u 73379 36458
m 77593 88105
u 80094 12357
q 93741 52116
u 81505 20910
q 72941 75093
m 52721 58801
q 62434 26889
m 79095 81116
q 73954 23786
m 74651 60447
m 34487 57292
m 2402 24945
m 76441 91043
m 57083 41423
u 41282 60075
q 93747 66598
m 96816 62698
m 12712 84066
m 32597 24917
q 50429 84326
u 66669 12803
u 30604 86113
m 64859 20152
u 75108 99297
u 76355 37532
m 16646 69538
m 85318 46974
m 43334 91591
q 81076 60157
u 69059 49874
u 6189 67694
m 9009 9465
q 50108 81136
m 63584 91412
u 35642 59428
q 4905 45600
q 91415 1108
m 61736 33519
u 23401 83702
q 56156 24488
u 16769 3724
u 32269 98863
m 88660 30156
q 89740 32367
u 89411 93480
m 27470 25354
m 51763 27745
q 1761 71583
m 90551 99989
m 73869 18283
m 42793 22787
u 47665 6243
m 24522 89454
m 34451 64660
q 673 71116
m 42996 35517
u 89318 97287
m 7978 60741
u 4767 13700
u 57040 89022
m 10074 64249
q 19550 78338
q 18235 59452
u 73285 9142
q 44698 1431
m 60023 26778
m 61200 51888
m 65023 78451
u 17480 38964
m 3454 28458
u 64121 95969
u 3294 27663
u 26205 38678
q 53171 41352
q 63717 64342
m 36268 76713
u 11177 24579
m 83888 20260
u 82313 99606
m 8162 54845
m 90654 94287
m 21382 32305
m 41723 16555
u 53599 58935
u 60916 21576
q 8281 12138
m 5991 69501
u 14031 7050
m 61261 36550
q 23681 17400
q 8642 38961
q 12732 28134
m 53857 77755
u 88294 96056
q 12707 51238
u 12252 33295
u 40637 38874
q 63296 38690
m 43481 82547
q 59166 36755
m 51917 49455
u 80049 32781
m 3455 51784
u 77210 98299
q 53794 5283
m 61609 66135
u 92340 12294
q 55964 54602
m 60277 14578
q 24542 70249
m 54767 84100
q 83573 43084
u 22769 54068
u 29837 30272
m 94871 11080
u 90886 91437
m 62039 74220
m 2488 95022
m 36248 12456
q 33234 4818
q 8580 66104
m 48613 4935
m 36537 77667
q 42887 10156
q 93269 79678
q 94744 76800
q 49234 3688
q 77968 14991
q 71795 97623
m 51253 85754
m 73795 36394
m 28131 97195
u 9171 46978
m 19485 46117
q 96583 45989
u 72746 71642
m 44092 32784
u 60107 296
u 13870 10649
u 3640 28191
m 75604 34128
q 94707 68614
u 70450 49417
m 5491 97112
m 63421 11231
q 74719 48867
m 42857 1751
m 72128 47698
q 93569 67702
u 31567 34316
m 97697 8295
u 49463 15714
u 72181 26775
u 92019 31837
u 5585 84086
q 64876 96891
m 22594 7645
u 74351 71588
q 45300 47806
q 92031 69091
u 92840 22888
u 37971 42284
u 36792 20880
q 45481 26343
q 59427 76874
m 27965 56157
m 61404 48885
u 63660 86391
q 68632 70265
u 7637 21895
q 34944 42346
m 83422 52084
q 72306 64889
u 40619 53606
u 61821 52031
m 69497 81869
m 55725 74477
m 3736 27463
u 45117 79507
u 73258 10993
q 16796 43426
q 25911 13393
q 45389 43447
u 64444 4390
m 17646 89120
q 67047 52487
q 87511 3429
q 86952 75488
u 81748 39191
q 93960 55186
m 59892 59427
u 1700 10357
u 96102 29098
m 97878 31141
m 14630 29857
m 94285 78068
m 45292 19810
u 20109 34049
u 19883 64884
m 69723 76893
u 86081 34265
m 63139 17023
u 27444 36694
q 13000 53396
q 27706 61705
u 85507 48501
m 63549 72579
m 20260 44663
m 50125 43961
m 63828 15672
u 34559 96217
u 96415 40567
m 99637 38669
q 90447 71079
m 57897 17492
m 66140 54922
m 90682 62575
u 66590 28209
m 97365 75756
u 11671 25574
m 89718 17605
m 25982 82454
m 27551 22933
q 17627 96306
m 71867 47352
q 72762 45073
m 62007 47898
m 78795 24830
q 73369 17862
u 7050 29661
m 96159 79550
m 22803 7130
q 64771 9421
q 62000 5950
q 67224 92600
u 1842 55852
u 48506 84669
u 80919 20479
q 48606 2769
u 78766 23330
m 21418 7041
m 34479 27425
m 35707 25316
m 78621 25967
u 7736 63089
q 82960 19932
q 16129 62970
m 21011 3483
u 16870 35775
q 35762 61351
q 92377 28616
m 2485 92218
q 31765 22052
q 86701 39770
m 51936 22254
m 44192 41638
q 33778 37775
u 16059 76379
m 77561 77078
u 9119 8720
u 80437 45874
m 94959 2878
u 98788 14831
q 69968 4665
q 80491 76657
q 10714 38670
q 12022 88812
m 17882 58919
q 18940 42895
u 82081 34737
q 2027 39621
u 7605 95322
m 29038 80831
u 98469 52592
u 44765 19280
q 16989 68198
q 21265 80428
m 1144 13276
m 93472 53413
q 39933 79939
q 69276 59053
u 6111 75028
u 98829 16596
u 98717 41127
m 60445 64017
q 98770 57260
u 33443 51948
m 13456 39165
m 38616 73995
u 70965 31312
u 13430 89682
u 68004 91799
u 23597 6402
q 39609 85583
m 92456 36195
m 10158 69094
m 96772 63584
m 12603 97915
m 3804 50031
u 51801 26385
u 95628 22653
u 62079 27413
u 94288 98043
u 7060 5772
q 33511 5039
u 90002 49711
m 24114 56698
m 25278 60327
u 68299 77465
q 85570 92145
u 99090 57776
q 82871 40463
u 82250 23509
q 57283 11173
q 47167 15021
m 10059 72506
m 37818 29895
q 54312 83383
q 58230 77577
q 71461 5155
m 54839 25223
q 2179 89276
q 93756 3369
q 70743 73342
m 12301 51699
q 82435 97916
u 84628 88085
u 20714 82349
m 14778 4215
m 62672 49555
m 73812 28
m 86158 28088
q 50680 8962
q 35597 39162
q 72218 10606
u 12775 54722
m 74401 75950
u 25553 74251
u 89540 6301
u 10746 78559
u 32947 7348
q 555 60873
q 48900 3225
m 53563 92715
m 98492 86034
q 27833 8838
m 53369 44205
m 10397 80671
u 5944 80738
u 31148 16551
m 68451 45090
m 20989 94692
u 25501 75872
q 24995 61227
u 9718 31319
q 88947 79345
q 13408 11039
q 89801 60626
m 54519 30339
q 48286 7961
m 11353 37233
m 4341 55168
m 59468 5232
q 62099 13093
q 77835 29914
m 19590 85769
u 84117 65788
q 26122 46985
q 89958 50808
q 32224 93647
m 46496 96950
q 60334 92890
m 43573 30873
u 98254 58927
q 24290 33370
q 18503 28388
u 80540 70785
m 67965 19043
u 43145 66099
u 23725 43393
m 82210 34622
u 27865 70185
m 44854 55859
m 85843 94285
q 28981 93714
m 77328 11113
q 72560 85657
m 16501 45982
u 83668 97924
m 39176 47228
u 96987 1031
m 38664 59480
u 93838 31820
m 75430 95536
q 71150 38022
q 85509 81319
q 65104 7041
q 38118 5776
m 91596 17056
q 13434 82925
u 10852 44297
u 89625 52329
m 2738 4576
m 16341 82563
q 6845 19556
q 75112 81520
u 7575 7569
q 97686 31972
m 39192 67549
u 90474 48936
u 53210 9593
u 15064 36876
u 66597 87927
u 4844 25608
u 5180 45432
m 76867 98952
m 85036 70168
u 68965 25569
q 90325 61514
m 83033 62734
q 40627 4381
m 94043 46726
m 74156 82175
q 34755 27029
u 8452 1089
u 81439 39949
m 54472 12250
m 63456 70247
q 77620 10163
m 47754 26906
m 28203 10293
m 68753 46459
m 48422 26236
u 52922 54339
q 46342 10487
u 28716 91238
u 87287 58545
m 13427 59991
q 88847 97560
u 14244 96889
u 57147 90211
u 81854 58848
m 75383 51867
u 86041 96813
u 6477 84649
u 91296 20272
u 63968 5933
q 50569 1154
m 25965 56303
u 20927 13952
m 20819 37895
m 95098 91248
u 10026 42438
q 42079 66140
u 98327 8197
q 93355 34652
m 36519 75791
m 90780 95619
m 4325 58601
m 61823 60212
m 43458 58541
u 90797 95027
u 81247 34905
q 81933 32093
q 73369 45966
q 76829 99722
u 83753 60280
m 78607 54256
u 63470 38365
q 80686 90960
m 82264 72332
q 79373 17837
q 47826 15759
q 78899 37720
q 97902 79349
m 77357 76144
q 24294 91921
m 63665 38285
m 24527 81358
u 82049 64200
u 60260 40147
q 22298 89330
q 82869 6347
u 55701 9262
m 11621 5403
m 89359 29131
u 89895 60918
m 21020 10521
u 5892 83856
u 6361 82784
m 72528 35694
q 27839 90999
q 13192 69897
q 32587 20040
m 85812 93254
m 68361 5664
q 87080 90650
u 80511 54858
u 43205 63295
m 29465 96429
q 33487 52163
m 30355 94439
q 48315 33162
m 74509 39566
m 76711 67037
q 36294 84252
u 2122 19172
u 43216 59584
m 35483 76393
m 93820 19916
q 81364 57463
m 50664 5604
q 70557 68767
u 38803 96163
m 92871 22098
m 27878 34036
q 74319 59960
q 48648 79838
q 1161 72718
u 46963 86040
q 10342 88321
u 79250 59086
m 78199 64678
m 84731 15263
m 57008 73989
u 46753 2532
q 25621 59193
u 69441 51281
m 87167 4861
m 860 23727
q 3592 56198
m 14823 20168
m 27878 79903
q 29630 35176
u 41895 34988
u 65025 83750
m 50568 39560
u 28883 64536
u 74678 37668
u 45213 94986
m 45625 33999
q 99420 42584
u 42204 71716
q 72696 85060
m 55013 28016
u 71556 20831
u 41397 62873
m 47689 83439
m 36917 25370
u 85604 80929
u 96905 32553
q 62218 56869
u 9561 49341
q 62210 51418
u 77125 68748
q 73040 14198
m 88391 43228
u 33611 77363
u 78799 54926
m 2129 70202
u 87274 60435
u 88560 55012
m 23292 58059
q 73749 80494
u 88191 43469
m 3115 40256
u 97157 57967
q 11171 14051
q 1889 43149
u 59383 57175
u 93280 72879
q 7505 32409
q 39724 85982
u 64077 67997
u 38451 70672
m 42991 16818
u 50151 67042
q 54985 63313
m 98859 77468
m 57369 34762
u 61795 97947
u 42722 53344
u 33554 20291
m 81375 7436
q 86185 28226
q 21671 87984
q 68454 83325
q 47706 80840
m 54297 35018
m 86499 52481
u 70477 67905
u 75446 98633
m 69461 85719
m 5111 84726
m 61742 73194
m 84606 34026
q 22181 50601
u 68855 96282
q 92900 67246
m 96081 62927
u 59452 69383
u 69963 62310
m 91475 48580
m 87656 94489
m 97888 81138
u 10636 79016
u 8068 69177
u 12904 52092
u 80783 31408
q 35744 26310
u 22869 25653
q 44498 23090
m 68805 50073
u 70235 8360
q 97008 7416
q 3277 64666
q 52611 30025
q 76987 88764
m 44038 5748
u 23701 34818
m 2834 69387
q 40327 82907
m 55836 86062
m 39690 10152
m 87085 79686
u 29933 94545
u 99083 20094
q 82975 23913
m 6405 42447
u 77726 26467
u 83661 37383
u 16422 80280
m 61287 88339
q 41038 78002
q 49883 11612
q 41469 87224
q 70433 15272
q 60597 80772
u 68796 73337
u 57087 38700
q 44234 90039
q 23492 65514
u 65727 5954
u 48498 84563
m 47527 3407
u 34765 72292
u 55408 2404
q 77936 96953
q 96594 6385
q 59772 52425
u 40496 99277
u 40956 37424
m 21213 91
u 35347 90892
q 73512 38481
q 6411 55301
u 51197 70972
q 4910 42145
u 99485 88003
u 96116 89686
m 47211 62652
m 92346 49189
m 64175 32277
u 57406 94793
q 6573 23981
q 75675 75108
m 48164 81557
m 89037 94879
q 32218 85786
m 13954 27997
q 9062 7213
q 25649 99792
u 52450 70770
u 57265 22728
m 49013 62175
q 54899 55544
u 57012 62169
m 85876 36224
u 85022 80706
q 54180 42358
u 74754 13300
u 36996 56356
q 1234 2021
m 28780 36253
m 45544 73847
m 14082 53952
m 31323 56294
m 95412 18506
u 87570 74357
q 19829 56306
q 39858 56054
q 6872 96702
u 25603 97355
q 34762 78094
u 48596 35283
q 28565 44269
q 17242 91537
q 42286 55883
m 43450 52651
q 25716 97085
u 27224 49030
q 13297 63775
m 38414 68689
m 37976 87922
u 8421 24319
m 60066 71086
m 36419 24967
u 95313 20461
q 71194 87924
u 49419 31081
m 31205 75760
q 19045 67581
u 99584 47375
u 3216 34905
q 24823 41111
m 26048 95701
q 44669 46554
q 15248 20836
u 11428 53480
q 72641 28517
q 20631 61356
q 67968 20367
m 14932 7346
u 54248 72268
q 82265 36728
q 93767 25674
q 64840 63775
u 69416 87858
u 67451 95290
u 31874 78353
u 95049 48280
m 46893 86396
q 8711 81958
u 62910 19095
q 57537 87170
q 76402 27392
q 58719 44023
m 92693 61350
u 59221 97558
u 62218 46367
m 93539 65242
m 62446 13258
q 6002 54600
q 50608 3322
u 19638 49565
q 85628 99668
u 72395 86399
m 62517 40677
q 43145 22240
u 51770 62659
