10000 10000
q 605 1432
u 4061 2259
q 5243 8635
u 9178 94
q 4623 8024
q 7296 3972
m 9625 4618
q 1835 9188
q 5867 2645
u 1415 2992
u 8170 6302
m 5192 1943
u 7950 6376
m 5658 912
u 5275 6344
m 7064 1317
u 8141 3654
u 8846 284
u 4430 729
q 423 1045
m 4880 4565
u 9083 7801
m 3383 2419
u 6773 7841
m 8788 1715
m 2864 4282
m 1532 888
m 1166 553
q 3871 1435
q 621 2970
u 3410 5284
q 9710 1643
q 7486 1533
q 116 1454
u 1789 9120
q 4140 4823
q 5236 112
q 6901 1856
u 8102 2365
u 8008 1254
m 866 2383
q 6171 1230
u 9160 5698
m 1178 3410
m 8284 5
m 3743 8987
q 3102 8076
u 9488 3240
m 50 1758
m 4672 2116
u 1580 5064
u 683 7297
u 8324 7460
u 7492 6714
q 6773 6887
m 5407 5704
q 7958 4859
u 5223 2151
u 5348 2054
m 5294 6558
m 4988 3458
q 3190 4370
q 2379 591
q 2280 7857
m 5001 5566
m 7056 2662
m 3585 505
u 1817 9714
m 2104 2141
m 2 6360
u 4528 5712
u 6342 5565
q 7908 1708
u 5588 5518
u 4164 2297
q 7838 6331
q 875 2829
m 9308 1427
q 8312 7630
u 6929 6587
m 4693 2241
m 5157 3855
q 4513 7273
q 1944 1047
u 7051 4742
m 52 9772
m 2502 1288
q 3577 8282
u 9387 3541
m 6977 6587
m 8510 8693
m 8253 9959
m 3616 5075
q 8550 6254
u 321 9959
u 9464 6492
m 1192 3673
u 7310 8103
q 8403 3873
m 8556 8493
q 5142 1002
u 3780 4406
m 642 6862
q 8434 5876
m 7662 7930
u 6397 9257
m 8297 6767
q 5870 8238
u 6199 6605
q 4812 7269
u 6596 3402
q 7895 1881
u 2819 4891
m 9930 6297
m 3244 2088
m 9592 9041
q 6546 1734
u 2375 7018
u 1924 7218
u 8670 9042
m 4846 4109
m 4777 4913
u 4761 3568
u 38 543
u 1384 1545
q 6679 8009
m 5664 5367
u 5242 3913
m 4311 5130
q 8441 3070
u 4032 2230
u 9665 4882
u 7162 6597
m 3078 711
q 3000 5812
q 440 5400
m 7916 5075
m 2643 3597
q 5091 9504
m 1752 4855
u 941 6961
u 7452 5996
u 7568 7949
q 2046 4207
m 6871 2792
u 5178 8319
m 5910 1905
q 2777 6589
q 934 5473
u 2521 4673
q 8396 5410
q 7243 6029
u 3642 5120
u 6635 9318
m 7151 2405
q 3031 2212
u 5647 2321
m 7637 240
u 564 2252
u 8396 9731
u 6100 7739
u 8861 5222
q 6964 706
u 5316 6783
q 4513 2360
u 8422 9879
q 1342 9005
u 8819 5541
m 361 5285
u 3313 7477
m 4736 9720
u 1063 7378
u 824 1845
q 9369 6406
q 4999 162
m 9649 2937
u 8879 8901
m 4658 4268
q 2126 9408
m 7957 8149
q 5794 8275
q 2774 5532
m 5003 8723
m 5900 2598
q 5436 6488
m 2788 3588
q 540 2127
m 4235 1552
m 9569 9079
u 6862 6879
q 9288 5585
u 376 5303
m 7001 2489
q 5031 9147
q 3370 6018
q 8177 4110
m 9125 6287
q 2447 4994
u 4064 1333
q 5360 534
q 2163 268
m 8963 5661
m 841 2658
m 1607 6956
q 8772 8276
u 9869 1037
m 1605 9670
u 8764 7250
q 9493 620
u 3036 8412
u 526 9217
q 9626 2311
u 4179 1575
u 7849 4009
q 5211 6626
u 5260 5978
q 5040 6723
u 6015 9625
u 4541 9017
q 1119 9185
u 2714 454
u 4141 6545
m 3882 7266
u 3514 3584
u 2564 2721
q 9138 6121
m 3118 8627
q 3524 7405
m 4996 375
u 8076 4659
m 170 1289
m 5451 8872
m 9540 5202
m 6886 5506
m 524 2428
q 2741 9135
u 3613 3131
m 4885 7182
m 3718 2836
m 781 7510
q 1638 7979
u 6103 844
q 3986 5231
u 6371 6878
q 8852 9162
m 8656 2354
u 3306 1226
m 5880 8868
q 7505 3580
q 2681 961
q 9677 7937
q 9917 4626
u 6119 6124
q 1869 3220
q 9749 3260
m 3152 283
q 5422 8430
u 971 765
u 7966 8735
q 1210 1990
m 7018 9484
m 4171 6535
u 3864 405
u 5503 4278
m 3305 5284
u 5958 3599
q 2885 9440
q 971 8344
q 7632 1541
q 8445 8181
q 9686 3689
q 4622 802
m 2734 8861
q 2493 5974
u 4327 9704
m 6684 9285
m 4209 9864
u 8837 6116
q 4915 4536
q 5628 2385
u 1549 6447
u 2285 5110
m 6569 7121
u 2131 271
q 579 2178
q 8748 8050
m 3109 4874
u 9156 963
u 5766 5212
u 8509 2210
q 1027 4995
u 7278 3847
m 4241 8618
u 5750 5674
u 3606 3139
u 921 4284
q 190 4847
q 2045 4784
m 2687 7932
m 9063 9507
q 3032 1903
m 3265 1165
m 3569 9152
q 4716 7730
u 9640 7710
m 5930 3433
u 2920 5302
q 5650 1594
m 5238 3149
m 6869 3483
u 1089 3767
m 771 1356
m 5838 1336
m 3271 230
q 7517 3911
u 2539 7139
q 3882 2199
m 5460 2232
q 4726 9657
q 3250 1205
m 4551 103
u 6356 9332
q 6652 9754
m 7436 907
u 9959 7052
q 3450 5704
m 2177 7409
m 2405 7543
u 6942 878
q 4857 7281
q 6087 6330
u 6692 7933
u 770 2149
m 3229 7795
q 5267 4741
u 6690 7841
q 4882 9658
m 8858 8718
m 786 7143
u 6911 1752
m 8991 660
u 2829 4803
m 6002 9747
u 4874 9890
u 97 3827
m 1812 9660
m 7460 7821
u 5411 2444
q 7737 2325
q 7683 1026
q 6324 7380
m 2087 6364
u 5324 6523
m 9245 4960
q 6290 1602
q 2064 6189
q 9047 4399
q 2964 7645
m 9315 4619
u 5374 6035
m 215 6413
u 758 1263
q 5080 2167
m 9326 7280
u 8296 866
q 8765 6980
q 2424 8085
q 6957 4556
m 4774 7997
u 6714 4499
u 5537 4037
u 5393 6730
m 265 7017
q 7879 6807
m 7377 9593
u 9645 3887
m 1905 6509
u 9551 5364
m 2746 6560
m 2230 7973
q 3514 6616
u 947 1547
q 4347 5639
u 4239 6277
m 1506 836
u 7843 6161
u 52 2566
q 1190 1771
q 7534 6222
q 1006 6852
m 2537 7628
u 7857 2235
m 2867 7384
m 1615 2581
u 1423 5375
m 4065 5673
m 8856 1443
q 1277 3289
q 4044 6683
q 5305 6014
m 6001 8020
u 2646 6259
u 1456 1597
q 6242 8286
m 9791 8314
m 6672 3493
u 5001 5332
u 9815 6526
m 2652 8960
u 9045 5611
q 220 7372
m 9376 8538
m 4171 1822
q 9313 6288
q 8983 2431
m 8470 6732
u 5797 6943
q 6114 8787
m 7083 9906
u 186 7296
u 8487 4422
q 1397 4074
m 9839 6464
q 9610 7660
m 7007 1227
u 5968 4416
m 1031 6126
q 9113 3669
u 5917 5652
m 472 65
u 9659 9715
m 6097 1780
q 5983 5145
q 5577 3050
u 2651 91
u 4528 3295
m 9470 7169
m 3412 3463
q 9272 8544
q 1989 2587
m 4716 5754
m 8849 604
u 1414 3213
m 9342 7591
q 4040 3377
u 1305 1357
u 8773 2807
q 2279 7772
m 2464 8967
m 9095 5394
m 8934 801
m 8009 7560
m 8366 7987
q 9300 9227
u 3153 5492
u 6052 7313
u 9798 9762
m 9878 5018
q 5965 1872
m 8450 5774
m 8340 256
u 876 1863
m 5617 9626
m 6002 9929
u 9803 7530
m 6015 6244
q 9472 7675
m 3046 6713
u 8224 1834
m 5295 2985
q 2409 954
u 3747 7507
u 3342 8886
q 6431 6003
q 9763 735
q 2586 1016
u 2907 3518
q 6951 1262
m 6015 5212
u 783 4177
m 2577 3736
u 6814 251
q 5263 7041
u 9933 1807
q 2399 5809
u 8409 7267
m 2748 3859
q 9916 8087
q 470 4778
m 9148 2561
m 3373 5409
u 9193 9234
q 1624 228
m 163 1590
q 9626 1404
q 3976 122
u 1058 7554
q 1556 7982
u 8936 9321
m 1697 7351
q 8547 7395
m 4204 4697
u 6056 222
u 4012 674
q 9614 2816
u 6140 8989
m 1984 7437
m 1170 3625
m 3506 3328
u 2087 5711
q 338 8377
q 2217 8313
m 4002 414
q 1330 6777
u 1714 8012
q 948 5872
q 1367 4459
m 8047 7037
q 2506 106
q 6638 2249
u 7513 7069
q 9470 3248
q 6481 6604
u 7801 955
m 9765 9708
u 5866 635
u 659 9748
m 9662 5170
m 5488 5085
u 133 3971
m 4657 8417
m 9563 1687
m 1779 7237
q 8489 6481
m 6016 5206
q 7325 8179
m 4600 9349
q 531 7621
u 9768 9813
u 9505 182
u 3288 3380
m 4581 7547
u 8602 7771
q 5667 5965
m 1520 5461
q 1679 4648
q 7436 2879
u 8233 505
m 929 7086
u 1458 6550
q 1560 51
m 293 420
q 2364 761
q 9705 9236
m 6200 8799
m 5326 8055
m 6023 3091
q 254 7330
u 7926 5822
u 4865 1294
q 3121 1384
m 2958 8688
u 7255 3118
u 3970 4948
u 554 399
u 1232 3294
u 2559 80
m 3025 3203
u 1767 9583
m 6625 9095
u 231 3490
q 4867 8187
q 1370 4534
m 5244 5408
m 2963 9085
m 4470 8203
u 886 1097
u 1122 1348
u 5576 9174
q 6056 4293
m 9785 9029
q 4957 6778
m 4915 3437
q 9630 8564
q 4347 265
m 9433 6295
m 300 7108
q 5156 192
q 651 214
q 8985 2870
m 4400 7302
u 2621 8762
m 7793 8429
u 8858 335
u 6965 3614
q 4128 2250
m 2694 2699
u 4015 9164
m 3264 9800
u 9285 1517
q 2456 8540
m 113 479
m 3035 3295
q 7044 6132
q 4355 3681
m 2426 7511
m 2570 8443
u 9969 1759
q 306 3559
q 4998 8794
u 7075 1517
m 4350 192
u 8491 8333
u 7198 6469
u 5013 1010
u 52 2708
u 6561 8873
m 6121 9399
q 5785 3161
u 7095 5524
u 1995 849
q 3480 8405
m 2109 2601
m 6509 2977
u 3291 4426
m 1013 5630
q 3912 1308
q 5411 3237
m 370 9286
u 8928 375
q 5087 9833
u 5573 5438
q 9623 4150
u 7327 7274
m 6125 7209
q 8560 8925
q 31 1666
u 1161 2879
u 8825 593
m 8350 6244
u 4782 7689
u 7239 1573
m 3913 4048
m 8757 7478
u 5220 2850
q 3071 3587
q 1484 9550
m 7588 9568
q 1148 5398
u 85 7103
u 2620 9032
u 2051 1149
u 4694 6815
m 2471 2281
u 1034 6499
q 398 3247
u 9708 7305
q 9675 6920
u 5291 9987
m 790 9473
u 8010 28
u 9857 2346
m 7208 8191
q 9149 8305
u 1808 6091
q 7736 4578
u 6524 4829
q 4852 7026
q 7242 7781
u 8967 3683
u 6989 3005
u 6762 8135
q 2599 9437
m 2898 9442
u 2821 6507
m 5307 9059
u 9599 5887
q 7725 7775
m 3458 2749
q 9626 6661
u 3862 4330
q 2713 9388
q 1457 3022
u 2245 6233
q 9349 6237
q 9025 9279
m 3425 4543
m 7484 2001
u 5344 1832
m 9050 74
m 4683 6896
q 7621 8170
q 75 2664
q 9180 9587
q 5671 3479
m 7288 2131
m 1038 8166
m 6087 678
q 4194 6885
q 7978 1807
q 2689 2789
q 8766 4206
q 3235 6872
m 9008 4291
q 3737 1038
u 1218 1435
u 7508 5098
q 3850 691
q 7960 1282
m 628 390
q 7493 972
m 7762 4671
u 9660 3107
u 6130 7001
u 8259 6520
m 6487 3395
m 8358 1767
u 6884 3778
m 6320 7097
u 4226 4387
m 8947 8226
u 1099 3887
q 9092 3216
m 9709 3132
u 3920 7047
u 6446 3932
q 2584 6188
u 7059 6463
u 1647 4995
q 8729 7567
q 5419 4814
q 976 977
q 2142 6895
u 3867 7165
u 1685 9568
u 5918 4949
m 4880 6936
m 4724 7886
m 7825 4169
u 1408 5554
u 3836 1476
q 8800 6500
u 4415 3223
m 3639 6601
m 425 5596
m 4364 1426
q 7391 6352
m 1927 8998
u 516 824
m 4027 5728
u 3937 8381
m 1005 6560
u 1153 3571
m 9868 131
q 9185 9853
u 7416 5683
q 7941 7957
m 9891 9377
m 9815 6011
m 953 3250
u 5853 6847
m 2281 2267
u 340 7732
q 3985 2114
u 6704 6926
q 2090 2172
q 3137 5888
m 7997 4488
q 4599 8615
q 6963 1222
m 2856 2675
u 9128 605
u 6470 436
m 8333 677
u 4350 2456
u 2438 1887
m 3707 4577
m 5009 7427
q 9840 8099
m 8160 5360
q 7307 7229
m 9073 547
q 161 7048
m 3897 6116
m 9781 6504
q 5432 9714
u 8078 5348
m 4004 4699
m 3047 8189
m 8855 8032
m 2656 9695
m 9127 2103
u 2149 9716
m 2836 1429
m 3512 4867
m 1145 3439
q 7120 5888
u 9927 7911
m 5777 7909
m 5596 4377
q 5131 296
u 859 3856
u 1767 9702
u 2543 6526
m 8914 8748
q 6967 3124
q 6332 4174
u 3946 8238
q 8060 7614
m 6864 5273
u 8963 5020
m 9566 1980
u 8792 3906
q 4228 1016
q 4557 7286
q 1409 4860
m 6220 4683
u 7548 7721
u 3320 3681
u 3660 1089
u 3872 8332
q 9990 7123
m 5279 5732
m 1017 491
u 8434 1664
u 2101 2953
u 9572 3639
m 1844 4580
m 5980 7135
u 1390 6457
u 6515 6346
u 2981 2004
u 7976 4357
u 6665 2151
q 6935 6524
m 9087 6882
q 5084 856
u 2938 8527
m 5975 1874
m 7504 4786
u 8585 7455
m 5474 815
u 8659 7945
u 8254 326
u 1174 5090
q 9982 5675
u 8335 4978
m 3282 1012
m 7554 7434
q 6099 5379
m 4714 8656
m 3868 5023
m 8862 5053
u 7195 2664
q 6161 663
u 8283 5273
m 6322 5342
q 3128 5620
u 980 6843
m 2735 4574
u 9599 9975
q 7835 4959
m 6193 1596
q 4645 5459
u 1498 3980
q 2280 8295
q 3783 9618
m 934 1557
q 9233 3414
u 9602 4416
m 1370 2146
m 68 6614
q 830 3120
m 3589 8209
u 2717 645
m 6986 1418
q 4913 6090
u 957 9336
q 4933 8040
q 3304 6455
m 6946 96
u 7593 2796
m 6289 1020
u 8656 1266
q 1037 7837
u 2516 6873
u 2592 1139
m 7944 2942
q 1951 9482
m 5690 2897
m 6403 5357
u 580 1623
q 2501 5429
q 586 4869
m 6361 1558
q 935 437
u 6941 2936
u 4117 7436
u 176 7381
u 5774 3987
q 8844 9536
u 8090 2260
u 5280 5802
m 2738 5063
m 5830 5390
q 9653 8604
u 1052 7243
m 5552 9667
q 8165 1477
q 4443 106
m 8650 3701
m 9598 3426
q 5178 2857
q 2235 8624
q 7625 7571
m 4292 8198
u 199 8824
u 9820 9426
q 7865 5845
q 3197 9190
q 4326 8464
m 9478 1116
u 2941 4663
u 3985 6572
q 6059 3285
m 4535 9479
u 6149 1028
u 4968 2260
u 9148 4229
q 4795 7187
u 2657 6975
u 2101 7401
m 2649 5122
q 1152 6182
m 7335 2165
m 5813 5888
q 9871 4052
u 7548 1339
m 893 4985
q 9691 7631
q 4415 1904
m 7253 4750
m 9657 9012
m 8113 7184
u 3396 3873
m 564 364
u 3101 8400
u 3157 7640
m 1370 154
u 6862 9889
m 5656 8712
u 9957 7308
q 9219 8012
q 3304 3713
m 4400 423
q 2305 4362
u 5131 6739
q 1021 6305
q 7315 2467
q 5220 5436
u 2052 7775
u 2455 4278
m 7524 3005
q 9734 4593
u 309 6362
q 8798 7236
q 8858 9535
m 6777 4958
m 7139 5773
q 4265 8538
q 1083 7273
q 8999 8905
q 8954 4759
m 2695 688
m 848 3713
m 5340 4478
q 9469 516
q 9729 4555
q 1322 8014
m 61 3778
u 3841 5358
q 7 5728
m 8154 920
q 4605 5916
m 7889 859
u 237 5245
u 7173 7863
u 9792 4731
q 8995 2794
q 7913 3182
q 1838 9150
u 6694 5642
u 7105 6115
u 3124 2644
u 8869 6443
q 3901 6024
u 3562 370
m 6769 7880
m 5941 9620
q 588 860
u 4527 9271
u 3525 7621
q 3219 3960
u 9280 8285
u 9682 6966
m 5725 7276
u 9978 8217
u 3293 1511
m 273 9503
u 9453 1945
m 9755 954
m 7690 3841
u 5385 4609
q 4628 6924
m 8553 5266
m 9345 5395
m 558 8535
m 4273 9707
u 2058 340
q 8810 7261
q 7439 5655
q 6264 5563
q 6049 5233
q 3307 2874
m 4591 4443
q 8350 6758
u 3233 661
m 919 1323
u 806 8774
u 3286 4031
q 5156 849
u 8296 8823
u 1903 4750
q 8158 857
m 4144 6243
m 1042 5479
q 9460 7288
m 6466 9949
q 6482 9351
q 189 7016
m 3931 8796
u 5749 4435
q 7789 5745
m 8951 9762
u 7213 3070
q 47 4401
m 2 2834
q 2412 5661
m 8212 8542
m 6590 5799
u 7323 3355
u 3691 8362
q 5738 8709
u 644 7652
q 26 6313
q 5071 4199
u 1529 8805
u 8722 8426
u 259 9606
u 2014 8164
m 9621 3492
u 4967 9892
u 9266 5778
m 6090 8586
q 878 6860
m 7488 4593
m 559 8116
u 2441 8915
m 1834 2410
q 5556 1889
m 7238 5816
m 4219 7405
m 7865 6505
q 3380 6180
u 7579 7117
u 336 7807
u 4905 7698
m 37 5051
m 9858 274
q 5899 7925
u 9168 9531
u 9570 7438
q 3235 7862
u 2720 9088
u 6560 1265
q 1338 9077
q 3380 8786
u 1085 9694
m 3404 1308
m 5227 459
q 3752 2268
m 7808 9280
q 3537 982
u 7393 357
u 2877 898
q 5501 2898
m 1065 2190
q 2646 6473
u 6060 3256
m 9314 2973
q 1971 8055
q 9614 4082
q 8753 6807
q 9361 9728
q 1509 8849
m 7958 1752
q 1682 1035
m 5841 2037
u 4681 6201
u 1634 5989
m 387 9392
q 2890 632
u 2205 3626
m 2409 7691
u 3263 9042
q 6291 4633
q 9933 7527
q 3990 6473
u 5627 5111
q 9218 6906
m 8836 9852
m 3925 4741
m 7660 5506
q 6344 3068
u 9464 6808
u 8480 6316
m 784 5133
q 4846 1723
m 6461 17
q 5020 7869
q 6642 1163
u 7896 6257
m 7304 3884
u 4075 77
m 4655 7648
q 8876 6848
q 5660 9712
u 2200 1291
m 1997 9751
m 8119 5729
m 2937 2687
q 3970 3644
m 322 6392
q 8692 1137
u 1753 3111
q 7070 4186
u 2138 586
u 4962 1267
u 5549 9379
q 6516 3310
u 7290 580
q 7002 2152
q 1725 289
q 1981 5429
q 7994 2355
q 5554 9618
u 8534 8679
m 4607 118
m 6391 9792
q 3721 6000
q 2019 6768
q 3567 3226
m 8509 3320
q 1798 7068
q 4343 9781
m 9673 9133
q 1499 4944
q 2743 6631
u 9193 5618
q 5461 954
q 6441 3437
m 9500 3789
u 9238 7231
q 4480 3836
u 4492 7077
q 5846 8861
m 462 2495
u 4077 7943
q 6129 6460
u 7320 361
u 4893 3296
q 2528 2734
m 8415 5173
u 32 9523
m 4451 8631
u 4303 1941
u 9678 9516
q 5498 3056
m 9365 735
u 6044 6767
q 1758 2742
u 5081 7373
u 2378 231
m 1610 4747
m 8123 7677
q 2618 3304
u 5195 4158
m 7346 4192
m 8931 7795
u 752 9841
m 3354 4995
u 4729 2928
q 5985 2665
m 2830 567
m 5403 7541
q 1610 3985
q 1723 9955
q 6876 8775
u 1129 4940
u 9587 3807
m 8287 8995
u 5041 3366
m 2184 123
q 3910 6901
q 7813 5031
q 9953 3896
m 7729 2043
u 4373 8980
u 8390 442
u 6924 1184
m 2051 3612
q 9586 8915
m 2305 3915
m 5787 991
m 9692 1810
u 6153 3052
m 5365 4085
u 5744 1586
u 2000 1634
u 9379 7168
q 3570 2307
u 3312 4763
u 8009 3680
u 7953 9929
q 1314 6518
u 9464 5818
q 1573 9263
u 299 3606
u 9885 6111
q 5409 9884
q 2486 2188
m 2171 1469
u 1441 6218
u 9529 6728
q 3259 7087
m 7074 5681
q 8776 8070
m 2521 8130
u 3284 695
q 8269 2555
q 2859 5719
q 5956 1440
q 907 1161
u 4140 2877
u 5036 8812
u 2027 5090
q 9975 9597
u 8441 3178
m 841 763
m 1554 2566
q 2034 286
u 7209 954
q 7380 1102
u 8870 6737
m 9939 372
q 6121 3858
m 1607 5330
q 9782 8769
m 9311 6359
m 3838 3289
m 8252 7924
m 450 6871
m 3264 9786
u 2898 797
m 6979 4703
q 7629 7738
u 5968 6457
q 2143 4540
m 9172 8397
u 9843 7790
q 9528 7593
m 3811 3176
u 2043 4464
m 511 7675
u 4297 8355
m 8120 7754
m 8587 7796
q 7796 6481
q 5029 7605
m 6213 9248
u 2643 8077
m 8301 7216
u 8958 7197
u 6398 6986
q 5989 7056
m 9852 7390
m 388 5499
q 3084 1510
m 9293 5272
u 7348 474
q 7221 2970
u 4177 5604
u 1606 5502
q 2667 3093
u 2021 3106
q 9459 3292
m 2320 9756
u 1623 8440
q 3109 901
q 2987 2756
q 8949 280
q 7292 4647
q 2889 2908
m 9378 7750
q 1938 4897
u 5672 9724
m 6874 8678
q 7888 6390
u 9626 2448
q 3667 7417
u 4642 5812
u 9914 7194
u 1710 4277
q 8366 1197
u 1903 2636
u 47 9387
q 8785 7572
m 9807 415
m 1943 849
m 3318 1873
u 3408 5811
q 2750 1423
m 771 6291
u 8462 5316
m 7062 4666
q 3831 8497
m 9823 9616
m 7370 7845
q 8772 319
u 3717 2365
u 6869 1838
u 1120 8099
q 6487 6324
q 2703 5002
q 2018 5340
q 1382 6753
q 907 2278
u 7963 7457
u 5241 9053
u 5313 8493
q 2837 4187
q 1316 2821
q 3436 7320
m 467 3573
u 8551 1264
q 4560 199
q 5297 5367
q 7607 8459
q 1796 5798
u 7194 2575
m 8330 5442
m 2835 4943
u 3259 9024
q 9201 1102
u 2869 4447
m 4034 5300
q 4519 6291
u 1923 2536
m 3163 4512
u 2516 740
q 9836 8370
u 3042 4727
u 8509 7201
m 9516 5365
u 4246 1676
m 1194 5842
u 8592 2453
u 8700 2950
u 9123 2379
u 468 7477
m 626 5077
q 968 7483
u 2665 7122
m 2930 4305
m 5261 1724
m 6669 4059
q 3145 9611
q 4271 2427
m 7473 1993
m 5652 1556
m 6810 2243
m 490 2202
q 1639 3114
u 2496 6717
q 2714 2716
m 4423 98
m 1352 7274
u 5193 6226
q 4311 1670
u 8443 1190
u 7973 3679
q 2396 9957
u 836 7634
q 7146 6385
u 6856 2314
u 8521 7864
u 4206 5964
u 4023 412
m 1935 1812
q 5759 9839
m 4757 8667
q 1311 787
q 386 8377
u 5487 6667
q 8768 4112
q 7322 7387
m 498 6540
u 7666 2634
q 7025 8064
m 6359 4758
u 9066 4735
u 6065 9667
q 5039 4406
m 8059 8206
q 8011 806
u 7305 3814
m 3850 6209
u 1342 4151
q 3575 3039
q 9231 5592
m 8465 3006
u 3274 3446
m 6568 5415
q 735 2901
u 8055 4091
q 6009 1271
u 7442 7348
q 8980 9094
m 8827 8561
m 7794 2436
u 7531 2851
q 9884 1658
m 4286 2324
u 9464 2169
q 3811 2518
q 4691 9274
u 6759 1649
m 7143 9132
u 4423 2148
m 6817 3278
u 5834 8796
q 5076 5218
q 2904 405
u 4169 563
q 4447 9516
u 1096 4116
q 6162 5856
q 8104 6166
m 6503 4540
u 3297 4408
u 2511 6187
m 5184 7827
q 5648 3448
q 3517 2708
q 8401 3958
q 8904 191
u 145 3897
m 4060 4757
m 8695 3309
q 41 5500
u 9225 8054
m 1096 9877
m 6528 9552
q 7294 8643
u 9546 5968
q 5676 6866
m 4883 88
m 3936 6868
q 6298 8770
q 6583 5235
q 4952 1953
q 4404 3169
q 2305 3482
m 259 6317
u 1928 3478
u 7114 8466
q 8790 4208
q 6878 8747
m 8007 3062
u 4668 2986
q 7436 7209
u 7244 435
q 9002 4666
q 5496 2799
m 6898 4143
u 6224 4269
m 1980 4599
q 2467 1935
m 8095 3240
q 9437 4791
m 4180 5662
m 7940 4006
u 6036 3032
q 9845 4523
m 4665 198
q 5121 4661
q 7011 5629
q 4245 3578
q 5806 2795
m 2449 9733
u 950 3022
q 164 345
m 6864 5245
m 6199 1105
m 530 408
m 7374 225
u 4004 1055
m 5838 4874
q 9377 7566
m 2377 9309
m 4839 3571
u 7534 3021
q 7990 8852
u 7707 499
u 5526 167
u 4995 1735
m 1378 3535
q 2398 5693
u 2357 3302
u 1021 1009
q 5709 8179
m 9370 8313
m 3780 8134
m 3121 1568
m 5737 8146
m 4533 8404
q 5843 6993
q 1266 1051
q 3960 5605
q 6529 5581
q 6542 9226
u 4196 5640
u 1621 7761
q 7306 2429
q 7165 7174
q 9942 2953
u 2535 6305
q 7363 1163
u 1130 4748
m 1763 9560
u 5018 1795
u 1700 7494
m 3838 8003
q 3132 3755
m 7696 3657
m 2491 8132
q 2463 1471
q 9004 745
u 7516 5445
m 3140 6911
m 728 3328
u 3969 6114
q 9462 3720
u 8206 5031
q 8099 7919
q 5500 7621
m 8706 544
u 9827 4265
u 3226 9245
q 8380 7428
q 1315 2389
u 4219 7335
u 8657 4674
m 612 1658
q 2708 4616
q 3654 249
u 3401 8455
q 4142 4086
q 9807 7201
q 6461 9512
u 1062 2696
u 5299 5432
q 6462 9082
q 6732 6131
m 5544 4114
q 2114 7472
q 5558 6163
m 9958 2322
m 7759 7181
u 8897 5263
m 5116 3164
u 6925 7007
u 544 943
m 9596 9133
q 1703 1234
