1000 1000
u 958 717
u 208 75
u 426 938
q 154 682
u 708 171
m 663 881
q 472 437
q 865 938
m 861 753
u 32 891
q 10 234
m 513 108
q 402 654
m 804 74
u 462 414
q 395 198
q 204 85
m 948 330
q 943 336
u 300 94
m 456 518
u 811 337
q 821 38
m 6 543
m 864 241
m 52 853
q 31 563
q 295 583
u 276 970
m 407 661
u 344 13
m 299 327
m 106 447
u 789 699
q 915 515
q 123 958
q 705 509
u 629 284
q 988 98
u 103 955
u 716 416
u 823 525
u 989 536
q 760 188
m 350 258
u 246 36
u 138 889
u 983 968
q 314 827
q 75 982
m 26 215
q 250 573
m 788 496
m 211 147
q 19 687
u 69 223
u 401 927
u 577 484
q 584 189
m 837 271
m 311 871
m 968 29
q 146 425
m 568 619
q 898 821
m 801 980
q 744 634
u 930 992
m 963 585
u 211 741
q 348 272
u 233 553
m 422 856
u 639 312
m 716 88
m 616 18
q 935 602
q 450 369
u 41 568
q 513 478
u 802 189
m 974 491
m 160 650
m 780 177
u 941 530
m 161 809
u 578 685
q 109 139
q 850 723
m 934 737
q 178 806
u 786 810
u 966 518
m 42 574
q 132 725
u 802 914
m 288 452
m 918 50
q 493 732
m 650 620
u 784 875
u 12 526
u 114 10
q 18 88
u 694 883
u 180 679
u 496 717
m 877 393
u 258 372
m 69 942
q 646 326
q 934 828
m 894 101
q 713 970
u 554 653
q 62 708
q 613 768
m 160 317
u 71 725
m 282 78
u 607 433
m 222 577
m 385 651
m 58 924
m 212 662
m 617 614
q 202 151
u 213 751
u 514 192
q 650 498
q 613 740
q 496 622
m 603 272
m 116 60
m 76 852
u 566 646
m 863 638
m 746 503
q 240 468
q 730 741
m 611 980
q 850 431
u 725 318
m 937 199
u 251 903
m 904 266
m 975 902
q 219 676
u 626 94
u 197 100
u 597 379
u 672 980
q 772 364
q 253 560
m 97 31
q 720 873
q 862 656
m 360 631
u 177 562
q 387 495
u 482 932
q 904 944
u 653 119
m 16 10
u 601 611
u 456 28
q 965 194
q 130 269
q 990 812
q 285 547
u 38 456
u 844 338
m 900 868
m 958 79
u 514 806
u 214 667
u 45 961
u 863 508
u 25 222
m 904 84
q 80 97
q 883 682
m 880 588
u 540 571
q 629 441
m 848 976
u 29 478
u 641 101
q 351 690
q 899 630
u 379 321
m 602 718
m 141 702
q 403 758
q 96 521
m 526 741
u 13 633
m 28 312
q 881 783
q 240 778
u 536 795
u 545 111
m 911 390
u 703 29
q 452 82
u 580 892
u 497 345
q 25 980
q 88 309
m 58 414
q 789 691
m 714 792
u 474 372
q 951 491
q 916 402
q 137 957
u 478 196
u 913 311
u 897 582
q 105 461
u 267 823
q 887 232
q 686 690
q 885 615
m 503 288
m 129 850
q 348 629
q 581 745
q 84 108
q 443 925
u 836 265
m 854 288
u 79 989
m 211 528
u 535 842
u 407 104
u 580 441
q 113 585
m 854 283
m 999 397
q 776 512
q 501 395
u 759 105
q 674 876
q 812 451
q 396 507
u 845 995
q 771 319
q 122 857
q 709 801
m 3 24
u 756 627
m 575 907
m 968 263
u 917 384
q 936 111
u 812 159
u 549 760
u 795 743
q 554 388
u 553 994
u 921 511
q 427 19
m 128 372
m 120 335
m 605 865
m 593 663
m 536 25
u 770 333
u 800 137
m 158 679
q 835 547
u 25 14
u 133 480
q 818 819
q 335 613
u 835 179
q 927 702
u 80 697
m 902 676
m 599 723
m 8 641
u 189 491
m 397 573
m 414 730
m 289 872
q 212 871
q 616 122
u 384 743
u 3 355
m 665 188
m 434 649
u 377 878
u 971 82
m 792 289
m 832 626
m 575 317
q 28 719
q 466 857
u 421 835
m 402 763
m 614 882
q 971 771
u 185 345
q 671 643
m 148 568
q 571 22
u 995 573
m 66 895
m 651 264
q 231 825
m 839 449
u 799 583
q 622 851
u 748 240
u 49 806
m 933 337
u 214 671
m 159 426
m 472 859
q 167 227
q 806 783
m 851 760
u 22 84
q 742 141
q 565 865
u 409 199
q 660 117
u 536 803
u 252 269
u 485 61
m 19 602
m 302 774
m 223 246
q 235 914
u 662 636
q 918 738
q 911 552
u 558 502
m 244 770
q 341 123
q 645 781
m 608 832
m 297 394
m 447 177
m 291 68
u 571 438
u 229 498
m 471 515
u 469 847
m 387 631
u 892 759
u 860 961
m 692 545
q 637 350
u 181 402
q 375 426
m 890 314
u 297 873
u 151 298
u 542 852
m 409 776
m 824 311
u 6 298
u 389 74
m 86 498
u 369 16
u 685 488
m 193 713
q 979 899
q 574 717
m 564 79
u 433 771
q 185 392
q 734 240
u 376 330
u 324 293
m 587 639
u 727 799
q 650 437
m 720 277
m 183 510
u 906 217
q 241 42
u 165 907
m 968 652
m 635 314
q 705 869
m 373 345
u 359 703
m 172 91
q 454 445
u 767 709
u 983 690
q 4 178
m 826 903
q 128 628
m 879 330
q 753 913
u 794 617
m 54 530
u 834 861
q 288 906
m 968 712
q 650 484
q 210 663
m 789 95
u 753 542
q 488 911
m 715 889
m 44 511
u 511 812
u 869 745
u 251 575
u 442 764
q 674 135
u 828 278
m 126 965
q 736 906
q 248 747
m 342 790
m 839 950
m 182 233
m 132 209
q 598 578
m 195 98
q 400 787
q 147 526
q 741 559
u 271 146
u 40 713
q 281 2
m 551 689
m 202 555
u 903 839
q 459 561
q 978 449
q 28 604
m 905 120
q 119 322
q 344 274
u 141 741
m 173 955
m 374 281
q 33 277
u 354 533
m 694 452
u 347 195
m 823 462
m 354 967
q 865 207
m 932 86
m 462 718
m 679 425
q 659 575
u 549 755
q 598 415
m 191 881
m 350 365
q 380 209
q 688 23
m 802 598
q 376 196
u 231 559
m 946 468
m 477 960
m 361 80
m 226 942
m 40 766
m 324 941
m 495 222
q 358 945
q 56 531
q 774 159
u 439 750
m 453 122
q 897 156
m 955 358
u 938 789
u 136 434
u 840 310
q 608 366
m 745 895
u 897 668
u 736 4
q 938 822
u 159 114
m 965 7
q 220 912
m 872 222
u 859 453
u 906 662
q 132 928
u 579 66
q 703 590
u 807 670
q 529 141
m 456 33
u 343 82
q 906 564
u 469 976
q 406 468
q 785 711
m 803 976
q 972 726
q 859 652
q 741 902
q 437 250
m 288 467
q 175 44
u 914 323
u 806 247
u 396 539
m 180 191
m 174 574
m 653 896
q 296 716
q 77 479
q 447 204
q 969 72
q 373 496
u 339 58
u 266 110
m 417 768
q 877 735
q 670 34
q 295 179
q 613 689
q 145 817
q 760 793
m 880 777
u 92 301
m 335 570
q 629 838
u 389 966
u 448 762
q 471 823
u 174 183
u 893 84
m 77 189
m 850 189
q 717 180
m 50 162
u 800 799
u 199 249
u 234 893
q 545 455
u 2 478
q 179 754
u 315 705
q 726 266
u 379 779
u 203 764
u 858 883
m 960 485
q 852 203
q 967 455
q 776 874
m 510 863
u 230 909
q 822 308
u 904 340
q 286 64
q 703 735
u 522 0
u 302 423
m 614 246
u 27 557
m 639 81
q 13 909
u 433 510
m 544 47
q 60 710
u 839 266
q 327 590
u 722 646
q 997 628
q 486 765
m 409 967
u 725 235
m 452 667
m 505 320
m 392 304
u 26 147
u 795 152
u 459 372
q 841 861
u 625 76
u 479 676
m 725 117
q 959 30
u 61 333
q 804 850
